"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0400000US06","California","12617280","20413","86704","221","80.4","0.1","87087","216","21.4","0.1","23815","311","25.8","0.1","17188","35","6.2","0.1","9910","44","4.0","0.1","5281","47","15.6","0.1","28884","144","8666286","22818","96357","302","13.2","0.1","49626","450","34.6","0.1","77121","399","28.6","0.2","135108","483","11.0","0.1","81552","487","8.4","0.1","134166","821","4.2","0.1","100831","812","38066920","*****","29906","92","62.1","0.1","33765","107","5.9","0.1","23458","194","0.8","0.1","20566","494","13.5","0.1","33483","193","0.4","0.1","23013","885","12.8","0.1","15131","77","4.5","0.1","18667","260","38.2","*****","16070","68","39.2","0.1","43751","151","30.8","(X)","(X)","(X)","31.3","(X)","(X)","(X)","23.2","(X)","(X)","(X)",
"0500000US06001","Alameda County, California","551734","1946","99356","844","82.3","0.4","100929","1013","25.1","0.4","19837","989","23.1","0.3","17064","165","5.8","0.2","9999","194","3.9","0.2","5312","227","15.5","0.3","30398","809","362173","2646","115583","1141","11.0","0.3","54011","2385","33.5","0.6","88940","1719","33.2","0.5","159771","1903","10.4","0.3","94440","2717","8.3","0.3","155708","3673","3.7","0.2","111798","3250","1559308","*****","36439","298","45.3","0.3","44253","533","11.9","0.1","25935","767","0.6","0.1","27534","3146","27.2","0.1","37029","514","0.8","0.1","24597","1891","8.1","0.2","18562","523","6.1","0.2","22319","1335","22.6","*****","19694","346","33.3","0.1","52729","619","25.1","(X)","(X)","(X)","25.2","(X)","(X)","(X)","19.5","(X)","(X)","(X)",
"0500000US06003","Alpine County, California","377","67","70985","10072","74.3","7.1","61934","11052","28.6","8.1","12561","5192","41.6","9.2","17071","2524","11.9","4.3","13200","5138","3.2","2.3","3933","2051","31.3","9.8","35842","6871","262","61","85459","13248","19.5","8.8","N","N","29.4","10.8","N","N","19.5","8.7","N","N","17.6","12.2","N","N","11.5","8.5","N","N","2.7","4.2","N","N","1202","190","24375","3467","71.0","6.6","30485","4733","0.9","1.4","-","**","17.3","5.9","9915","1684","1.0","1.0","17833","17751","1.2","1.7","14471","4018","2.8","3.3","5376","1908","5.7","2.9","8738","4707","7.2","4.7","8714","4666","69.1","6.7","30853","4936","34.5","(X)","(X)","(X)","35.5","(X)","(X)","(X)","34.7","(X)","(X)","(X)",
"0500000US06005","Amador County, California","13939","333","70485","4899","63.2","2.3","71348","7104","28.5","2.6","11199","1778","45.1","2.0","18002","786","4.8","1.3","11751","1226","3.4","0.9","7477","2281","34.0","2.4","32083","5467","9131","443","85725","6996","27.7","3.0","54711","4379","33.3","3.3","79810","11334","26.5","3.1","114460","19208","5.6","1.6","108159","19661","5.7","1.7","111233","28334","1.3","0.8","103884","33699","37159","*****","27373","1993","87.6","0.9","29341","2286","2.2","0.3","3085","3165","2.0","0.5","25790","11904","1.3","0.2","21239","11755","0.2","0.2","23270","23190","3.2","0.8","8100","2980","3.4","0.9","14234","4396","12.7","*****","12130","2310","79.9","0.1","30781","2495","29.7","(X)","(X)","(X)","29.2","(X)","(X)","(X)","20.0","(X)","(X)","(X)",
"0500000US06007","Butte County, California","85215","881","60620","1293","69.7","1.0","59961","1671","21.6","0.8","17414","2672","35.1","0.9","16910","321","8.3","0.6","10603","519","4.3","0.5","4608","534","22.3","0.9","25721","1188","51044","806","73109","2057","21.8","1.1","46272","3085","36.2","1.4","62099","3731","28.5","1.5","102201","4430","7.5","0.7","61801","3713","4.6","0.6","121006","10072","1.4","0.3","86484","11190","221578","*****","24430","526","83.5","0.4","26401","623","1.5","0.2","14351","2870","1.2","0.2","17659","3033","4.2","0.2","16175","2050","0.2","0.1","19697","6381","3.0","0.3","13885","1762","6.4","0.4","12818","1611","14.9","*****","14496","1043","74.2","0.1","27744","645","26.9","(X)","(X)","(X)","25.5","(X)","(X)","(X)","21.9","(X)","(X)","(X)",
"0500000US06009","Calaveras County, California","18608","488","70238","3113","64.8","2.6","69588","4053","30.2","2.7","17291","3524","44.5","1.7","18490","681","7.3","1.4","10762","1191","3.4","0.9","5871","1696","29.4","2.2","29318","3395","12609","610","82374","4092","26.7","2.8","57830","7478","35.7","4.1","76597","5714","26.2","3.0","107521","8043","6.1","1.6","65909","8274","4.2","1.1","153404","33172","1.1","0.7","87616","31731","44921","*****","29296","1369","91.6","0.6","30478","1475","0.7","0.3","21003","7795","0.8","0.4","14436","7227","1.2","0.3","22098","9072","0.3","0.3","11264","6425","1.5","0.5","24448","9951","4.0","0.7","11938","2310","10.9","*****","17790","2786","82.9","0.1","31834","1526","33.0","(X)","(X)","(X)","34.1","(X)","(X)","(X)","25.3","(X)","(X)","(X)",
"0500000US06011","Colusa County, California","6912","183","66008","5279","77.4","2.5","65434","6261","19.2","2.4","15471","3824","30.9","2.6","16237","1229","5.2","1.7","8269","2149","3.9","1.5","3650","1264","17.9","2.4","24227","3669","5147","215","72183","6433","16.2","2.5","37539","4178","29.4","4.2","55864","7212","30.4","3.4","104147","18071","9.8","2.4","58830","8763","10.4","2.3","91468","15160","3.8","1.9","72744","14792","21424","*****","22211","1674","81.4","2.9","23566","1787","0.9","0.1","38669","46582","1.3","0.3","22947","8859","1.3","0.2","34525","11425","0.1","0.1","28637","13119","11.2","2.7","13895","2461","3.7","1.0","8703","3112","56.7","*****","12829","776","38.2","0.2","35659","3572","23.0","(X)","(X)","(X)","24.1","(X)","(X)","(X)","17.7","(X)","(X)","(X)",
"0500000US06013","Contra Costa County, California","380183","1319","107920","868","80.9","0.4","108689","1038","29.0","0.5","21180","1167","27.2","0.3","18647","211","4.9","0.2","9969","263","2.9","0.2","5326","359","18.7","0.4","32885","837","269678","2407","123046","1274","12.2","0.4","62117","2519","33.1","0.6","105816","2564","32.5","0.7","163593","2610","10.3","0.5","95326","3486","8.6","0.4","156938","4414","3.3","0.2","119064","6459","1081232","*****","38770","364","62.1","0.4","44691","506","9.0","0.1","26074","893","0.5","0.1","26938","3425","14.9","0.2","40059","1099","0.5","0.1","24277","3067","7.2","0.4","18132","635","5.9","0.3","19622","1158","24.8","*****","19974","470","46.6","0.1","52429","577","29.3","(X)","(X)","(X)","29.7","(X)","(X)","(X)","22.5","(X)","(X)","(X)",
"0500000US06015","Del Norte County, California","9527","369","53193","3859","63.9","3.2","55578","4995","18.1","2.2","10638","2374","39.6","2.6","14178","931","15.2","2.6","9453","887","7.4","1.8","5355","1157","22.9","2.9","26762","2920","5852","377","64598","5026","22.8","3.3","35482","5182","37.4","4.0","56045","5586","25.9","3.8","91791","13292","7.1","1.8","62801","9848","5.3","2.0","111612","19003","1.5","1.0","95059","42657","28066","*****","19424","1324","76.4","1.3","21654","1768","3.6","0.6","13658","9907","5.0","0.9","20275","4736","2.1","0.5","9071","5800","0.2","0.1","19259","9015","3.9","1.0","9472","5278","8.8","1.3","8882","1521","18.6","*****","6771","2790","63.8","0.1","24664","2085","30.7","(X)","(X)","(X)","31.5","(X)","(X)","(X)","34.7","(X)","(X)","(X)",
"0500000US06017","El Dorado County, California","67220","856","91565","2479","75.5","0.9","90996","2664","28.3","1.0","19434","2413","34.1","0.8","18474","413","4.8","0.6","10137","841","2.7","0.5","5009","744","25.3","0.9","33413","1586","47617","886","106311","3183","16.8","1.0","60573","4701","31.8","1.6","92767","4430","36.0","1.5","133192","5979","7.3","0.8","93049","8161","6.6","0.7","154957","15790","1.5","0.4","111258","14377","181465","*****","35128","959","87.3","0.5","36539","1068","1.0","0.2","26793","6939","0.9","0.3","22418","6779","3.8","0.3","42431","6083","0.1","0.1","16013","13228","3.5","0.5","14608","1987","3.4","0.4","18488","3220","12.4","*****","19284","2293","79.3","0.1","38017","1031","27.0","(X)","(X)","(X)","27.5","(X)","(X)","(X)","21.0","(X)","(X)","(X)",
"0500000US06019","Fresno County, California","292550","1334","63045","791","78.7","0.5","63284","869","14.7","0.5","14430","1462","26.0","0.3","16325","197","8.7","0.4","9888","243","8.2","0.3","5077","173","15.3","0.3","25354","767","214330","1486","68097","994","15.0","0.5","34246","1893","38.2","0.8","51368","1164","24.7","0.7","101674","2134","10.5","0.4","63498","3001","7.8","0.4","108626","3887","3.7","0.3","80748","5026","948844","*****","20231","250","58.6","0.6","24334","396","5.1","0.1","15587","1166","1.0","0.1","15166","1640","9.7","0.1","19804","903","0.2","0.1","13754","3251","21.2","0.6","11940","312","4.2","0.3","12964","1004","51.2","*****","12894","198","31.6","0.1","33206","589","36.7","(X)","(X)","(X)","36.7","(X)","(X)","(X)","26.8","(X)","(X)","(X)",
"0500000US06021","Glenn County, California","9561","234","61237","5585","73.2","2.7","57809","5952","16.3","2.0","31378","14888","34.9","2.3","16261","906","7.5","1.5","10013","1589","4.7","1.6","8352","3994","20.3","2.5","23325","3674","6600","312","73416","7648","19.2","2.8","44818","9467","38.5","3.4","71935","15910","25.2","3.2","89789","8029","9.2","2.6","79978","17551","6.2","1.7","97050","12963","1.7","0.8","64916","19077","28019","*****","21698","1728","85.1","1.8","23347","2019","0.9","0.2","17853","7621","2.0","0.3","15445","3887","2.3","0.4","7166","2136","0.4","0.3","15725","5652","6.2","1.7","12483","2426","3.0","0.8","11508","4631","38.9","*****","12159","1215","54.4","0.2","29551","2820","31.8","(X)","(X)","(X)","34.7","(X)","(X)","(X)","23.5","(X)","(X)","(X)",
"0500000US06023","Humboldt County, California","53130","697","56409","1456","74.7","1.1","53746","1802","24.6","1.2","17611","2131","29.7","0.9","16575","415","8.6","0.8","10024","599","3.9","0.5","4434","617","18.4","1.0","23365","1519","30273","728","69548","2366","17.4","1.2","46652","4648","37.3","1.7","54655","3665","30.5","1.3","90910","3966","8.3","1.0","63614","6718","5.0","0.7","130404","23641","1.6","0.4","100595","13426","134876","*****","23516","585","82.0","0.5","25307","678","1.3","0.2","16191","3853","5.6","0.5","15675","1591","2.3","0.3","20528","4306","0.3","0.1","16524","4090","3.1","0.5","13036","2524","5.4","0.6","13938","2922","10.3","*****","13877","1106","76.3","0.1","26005","704","27.5","(X)","(X)","(X)","27.3","(X)","(X)","(X)","23.1","(X)","(X)","(X)",
"0500000US06025","Imperial County, California","46952","699","56972","1392","76.8","1.1","58528","1825","8.4","0.6","16225","3271","31.2","1.0","14177","440","9.7","0.8","8547","592","6.0","0.7","5236","632","12.4","0.9","25088","2862","36679","841","60784","1709","15.5","1.2","28602","2206","38.1","1.8","47877","2232","23.6","1.5","87853","4715","11.8","1.3","60180","4043","7.5","0.9","97711","8791","3.5","0.7","84669","8399","177026","*****","16409","429","68.3","1.5","18114","617","2.9","0.1","12823","3110","1.4","0.3","15275","2435","1.5","0.1","24535","4929","0.1","0.1","4989","2683","21.1","1.4","12460","944","4.7","0.7","9659","1586","81.4","*****","13861","455","13.0","0.1","32464","1582","36.2","(X)","(X)","(X)","37.4","(X)","(X)","(X)","22.9","(X)","(X)","(X)",
"0500000US06027","Inyo County, California","7891","202","60501","2664","70.1","2.2","60596","3372","22.6","2.5","18342","3921","36.3","2.2","16014","901","6.3","1.6","12158","2463","2.9","1.0","5488","1689","20.9","2.1","26699","2831","4349","261","76539","4194","17.5","2.5","57115","10694","33.5","3.6","62245","6327","32.6","3.8","98340","6828","8.0","2.3","71109","11579","4.0","1.4","110902","16181","4.4","2.2","79510","29229","18439","*****","27028","1092","82.8","0.9","28843","1303","1.1","0.1","11164","6666","10.9","0.4","18760","1745","1.4","0.3","18766","9562","0.3","0.2","24586","15746","1.6","0.8","19742","7027","1.9","0.6","17071","5525","20.2","*****","18055","2391","64.8","0.5","31722","1423","35.0","(X)","(X)","(X)","34.4","(X)","(X)","(X)","30.7","(X)","(X)","(X)",
"0500000US06029","Kern County, California","257737","1392","65412","647","78.9","0.5","66834","871","12.4","0.4","15144","1381","26.0","0.3","16452","276","7.9","0.4","9884","277","7.2","0.4","5050","237","14.1","0.4","27355","969","194671","1799","69859","751","15.0","0.5","33819","1471","37.6","0.8","55306","1307","26.0","0.7","100399","2139","10.4","0.5","63339","2519","7.9","0.4","109376","3913","3.1","0.3","86155","5079","857730","*****","20467","218","73.7","0.5","21900","287","5.6","0.2","15662","997","1.2","0.2","17326","2177","4.4","0.1","25160","1722","0.1","0.1","14268","4911","11.4","0.4","14445","507","3.5","0.2","12944","1006","50.4","*****","12921","201","37.2","0.1","31027","543","31.0","(X)","(X)","(X)","31.0","(X)","(X)","(X)","21.6","(X)","(X)","(X)",
"0500000US06031","Kings County, California","41108","617","63381","2064","81.1","1.3","63647","2586","11.5","1.0","15670","3340","23.1","1.3","15389","562","6.1","0.8","10337","889","4.9","0.6","5104","570","14.1","0.9","24365","1670","31998","704","66990","2424","14.6","1.2","29400","3489","38.2","2.0","51832","3235","27.5","1.6","91574","3725","8.9","1.0","63645","5669","7.1","1.0","120054","17149","3.8","0.7","95636","10573","151390","*****","18518","564","70.6","1.1","20303","780","6.5","0.2","16328","2606","1.3","0.2","14727","3703","3.7","0.3","23079","3135","0.2","0.1","16003","12092","13.4","1.1","11924","1140","4.3","0.4","10397","2334","52.1","*****","11706","539","34.5","0.1","29330","1345","32.4","(X)","(X)","(X)","31.3","(X)","(X)","(X)","21.3","(X)","(X)","(X)",
"0500000US06033","Lake County, California","26771","692","50526","2259","63.9","2.0","49757","2549","18.9","1.6","16495","5055","44.5","2.0","16302","620","9.9","1.2","9579","628","5.5","1.1","4600","1099","20.9","1.9","22552","2963","16240","656","59566","3177","24.2","2.4","42108","6112","39.1","3.1","52112","4684","23.3","2.4","81622","6026","7.8","1.6","56642","7951","4.7","1.1","95402","13011","1.0","0.8","112317","36056","64209","*****","21310","886","80.3","1.3","23181","1073","2.3","0.2","11021","3073","3.5","0.5","11936","2077","1.2","0.2","30642","10818","0.3","0.2","23881","10187","9.3","1.3","12160","2080","3.0","0.5","14762","3378","18.1","*****","13353","1750","73.0","0.3","23967","1068","32.1","(X)","(X)","(X)","33.2","(X)","(X)","(X)","25.3","(X)","(X)","(X)",
"0500000US06035","Lassen County, California","9821","441","64277","2718","72.4","2.5","66031","3808","17.1","2.0","8190","1859","33.2","2.1","15437","839","7.6","1.6","9737","759","5.8","1.7","5982","1884","24.7","2.3","27775","3186","6296","373","76120","3803","21.5","3.1","39173","4543","37.7","3.8","61938","4301","28.9","4.2","107780","8478","5.8","1.9","90733","12999","5.5","1.7","131835","18506","0.6","0.5","114206","33355","33356","*****","19847","1091","72.3","1.3","24535","1123","8.7","0.5","6337","3290","3.5","0.4","13617","3422","1.5","0.3","7361","4298","0.7","0.1","11417","7753","10.0","1.2","4632","2138","3.2","0.7","12859","5806","18.1","*****","6633","1903","66.0","0.4","25911","1311","28.3","(X)","(X)","(X)","30.1","(X)","(X)","(X)","19.5","(X)","(X)","(X)",
