county,year,discharges_total.1,total_operating_revenue,total_operating_expenses,net_patient_revenue,patient_days_total_total,outpatient_visits_total_emergency_svcs.__(incl._psych_er),net_patient_revenue_total_medi-cal_-_traditional,net_patient_revenue_total_medi-cal_-_managed_care,outpatient_visits_total_emergency_svcs._(incl._psych_er),n_hospitals,cost_per_discharge,operating_margin,total_medi_cal_rev,medi_cal_rev_share
ALAMEDA,2013,140653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,,0.0,
ALAMEDA,2014,136398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,,0.0,
ALAMEDA,2015,127737.0,3262566301.0,3439163214.0,3066401717.0,680401.0,518024.0,533223565.0,414692062.0,0.0,20,26923.78256887198,-0.054128221990729135,947915627.0,0.3091296296061916
ALAMEDA,2016,133776.0,3356875764.0,3495520954.0,3202352191.0,754414.0,0.0,546243611.0,405492187.0,595319.0,20,26129.65669477335,-0.04130185319542257,951735798.0,0.2971989778871889
ALAMEDA,2017,138548.0,3759740813.0,3994962842.0,3569857164.0,776457.0,0.0,603366775.0,508739285.0,585744.0,19,28834.503868695327,-0.06256336292828385,1112106060.0,0.3115267667331241
ALAMEDA,2018,136148.0,3978065724.0,4173373392.0,3798443788.0,768174.0,0.0,545607580.0,824118833.0,586251.0,19,30653.211152569264,-0.04909613906620312,1369726413.0,0.3606019963563036
ALAMEDA,2019,133064.0,4008445015.0,4198823846.0,3849570436.0,766069.0,0.0,683870700.0,687969095.0,576661.0,18,31554.919782961584,-0.04749443494611588,1371839795.0,0.3563617857647117
ALAMEDA,2020,132943.0,4319393255.0,4383255190.0,3938337766.0,791746.0,0.0,583030760.0,786770485.0,587699.0,19,32970.93634113868,-0.014784931871177819,1369801245.0,0.3478120279133011
ALAMEDA,2021,131481.0,4067071451.0,4386487658.0,3563362435.0,748685.0,0.0,565734339.0,575295465.0,453152.0,17,33362.14097854443,-0.07853715157167028,1141029804.0,0.3202115487306584
ALAMEDA,2022,119426.0,6890133951.0,6670912318.0,6446081178.0,748128.0,0.0,876266037.0,1316243379.0,453103.0,17,55858.1240098471,0.03181674471919131,2192509416.0,0.3401305933724312
ALAMEDA,2023,122719.0,6673561684.0,6853625081.0,6322277839.0,761643.0,0.0,651730581.0,985612273.0,518961.0,17,55848.11708863338,-0.026981603756163017,1637342854.0,0.2589798954895313
ALAMEDA,2024,126338.0,6912580370.0,7516365429.0,6526672747.0,790804.0,0.0,593214178.0,1040758314.0,560360.0,17,59494.0986005794,-0.08734582842904436,1633972492.0,0.25035305971960353
AMADOR,2013,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
AMADOR,2014,2426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
AMADOR,2015,2455.0,73070146.0,64852833.0,72310090.0,8435.0,18889.0,4773993.0,10054319.0,0.0,1,26416.632586558044,0.11245787027714438,14828312.0,0.20506560011196223
AMADOR,2016,2509.0,81041780.0,70977516.0,80360007.0,9637.0,0.0,8576978.0,7641690.0,20579.0,1,28289.165404543644,0.12418611733355314,16218668.0,0.2018251193034366
AMADOR,2017,2267.0,82839217.0,76260509.0,81651653.0,8704.0,0.0,8886628.0,9018824.0,22194.0,1,33639.39523599471,0.07941538124388597,17905452.0,0.21929074724304723
AMADOR,2018,2403.0,82216752.0,82563287.0,80922963.0,8725.0,0.0,7411759.0,9645674.0,24332.0,1,34358.421556387846,-0.0042148952807087295,17057433.0,0.21078606575490816
AMADOR,2019,2353.0,89184742.0,85892606.0,88392420.0,8877.0,0.0,5499421.0,9905193.0,21105.0,1,36503.4449638759,0.03691366848378616,15404614.0,0.17427528288059088
AMADOR,2020,2243.0,94617706.0,87237831.0,94133445.0,8331.0,0.0,525360.0,14828885.0,22345.0,1,38893.37093178779,0.07799676521432468,15354245.0,0.16311147435430629
AMADOR,2021,3246.0,108780086.0,92678301.0,95033077.0,8615.0,0.0,3971072.0,15065575.0,19797.0,1,28551.540665434382,0.14802144024780417,19036647.0,0.200316012076511
AMADOR,2022,2091.0,109357127.0,94914336.0,108679405.0,9739.0,0.0,6334238.0,11288945.0,22389.0,1,45391.83931133429,0.13206995644646005,17623183.0,0.16215752193343347
AMADOR,2023,2190.0,109274536.0,97801211.0,108854172.0,9762.0,0.0,6151541.0,15845181.0,24977.0,1,44658.08721461187,0.10499541265496656,21996722.0,0.20207513957296924
AMADOR,2024,2336.0,106545021.0,101383846.0,106095449.0,9481.0,0.0,4970953.0,15445979.0,25109.0,1,43400.619006849316,0.04844125939962976,20416932.0,0.1924392817264009
BUTTE,2013,32163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,,0.0,
BUTTE,2014,37495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,,0.0,
BUTTE,2015,37974.0,884821899.0,871189152.0,875573071.0,174268.0,92120.0,173962221.0,44777396.0,0.0,6,22941.72728709117,0.015407334532980405,218739617.0,0.24982451407530784
BUTTE,2016,33062.0,968082636.0,930273284.0,957927179.0,145922.0,0.0,137235577.0,149961902.0,104676.0,5,28137.23561792995,0.03905591381767124,287197479.0,0.2998113899428257
BUTTE,2017,39721.0,1040716828.0,1011707510.0,1032900308.0,182836.0,0.0,123041961.0,168743555.0,109626.0,6,25470.34339518139,0.02787436238131051,291785516.0,0.28249145995994807
BUTTE,2018,40821.0,1094203976.0,1054763848.0,1087145649.0,193408.0,0.0,114561031.0,200082348.0,107935.0,6,25838.755738467946,0.03604458479869388,314643379.0,0.2894215501753804
BUTTE,2019,41536.0,1165303555.0,1149496695.0,1156481516.0,193174.0,0.0,95403581.0,247588111.0,109165.0,7,27674.708566063175,0.013564585752937139,342991692.0,0.29658207870570064
BUTTE,2020,40648.0,1029628027.0,1025829174.0,1023797862.0,200618.0,0.0,81085151.0,174970653.0,88831.0,5,25236.8917043889,0.003689539232016263,256055804.0,0.2501038666947324
BUTTE,2021,26086.0,742468406.0,739870942.0,723065511.0,149239.0,0.0,75523695.0,55418057.0,67379.0,4,28362.75941117841,0.0034984168740507995,130941752.0,0.1810925151427946
BUTTE,2022,39519.0,1256639508.0,1160076839.0,1208107713.0,225746.0,0.0,100988911.0,191602614.0,71702.0,5,29354.913813608644,0.07684198084276689,292591525.0,0.24218993211576326
BUTTE,2023,38414.0,1245811421.0,1232755174.0,1199589777.0,224997.0,0.0,77818012.0,195104695.0,80409.0,5,32091.299370021345,0.010480115031791798,272922707.0,0.22751336517933662
BUTTE,2024,37002.0,1330970419.0,1292112795.0,1320630425.0,219330.0,0.0,118962455.0,166220542.0,87044.0,5,34920.07986054808,0.029194956886566238,285182997.0,0.21594459100849506
CALAVERAS,2013,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
CALAVERAS,2014,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
CALAVERAS,2015,1159.0,58799177.0,60120602.0,58471756.0,4449.0,16700.0,6357644.0,2244172.0,0.0,1,51872.82312338222,-0.022473528838677453,8601816.0,0.14711061525157548
CALAVERAS,2016,1129.0,65764168.0,66482011.0,65344670.0,4065.0,0.0,5790157.0,6053977.0,10701.0,1,58885.749335695305,-0.010915412173997245,11844134.0,0.18125631363659805
CALAVERAS,2017,1041.0,63415571.0,68794496.0,62864306.0,3715.0,0.0,3833693.0,6569775.0,11817.0,1,66085.01056676272,-0.08482025652658713,10403468.0,0.16549085899397348
CALAVERAS,2018,925.0,59030659.0,64558968.0,58702101.0,3512.0,0.0,2155397.0,8020093.0,12527.0,1,69793.47891891892,-0.09365148710265965,10175490.0,0.17334115519987947
CALAVERAS,2019,873.0,66459669.0,68863761.0,66048261.0,3327.0,0.0,5477289.0,8649856.0,11264.0,1,78881.74226804124,-0.03617369806641679,14127145.0,0.21389124840092308
CALAVERAS,2020,924.0,67045124.0,69297834.0,66771606.0,3158.0,0.0,4630587.0,8509535.0,10571.0,1,74997.65584415584,-0.033599908026122824,13140122.0,0.1967920615837816
CALAVERAS,2021,847.0,69061639.0,72523011.0,63674286.0,2803.0,0.0,2276762.0,12698080.0,9453.0,1,85623.38961038961,-0.050120038419592096,14974842.0,0.23517879729346317
CALAVERAS,2022,880.0,72766935.0,76060468.0,70418159.0,3335.0,0.0,1516158.0,13770867.0,9494.0,1,86432.35,-0.0452613951652629,15287025.0,0.2170892454033057
CALAVERAS,2023,822.0,71355303.0,77793764.0,69065852.0,3266.0,0.0,920400.0,8896356.0,10437.0,1,94639.61557177616,-0.09023100917951396,9816756.0,0.14213617461781258
CALAVERAS,2024,801.0,78746027.0,81144460.0,76460076.0,2928.0,0.0,1637751.0,12492219.0,10144.0,1,101303.94506866416,-0.030457828685122108,14129970.0,0.18480193506477813
COLUSA,2013,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
COLUSA,2014,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
COLUSA,2015,742.0,21982678.0,26975191.0,19941435.0,3577.0,6705.0,1923478.0,0.0,0.0,1,36354.70485175202,-0.22711122821341423,1923478.0,0.09645634830191509
COLUSA,2016,816.0,21054071.0,28548764.0,19564304.0,4498.0,0.0,1764873.0,0.0,7496.0,2,34986.23039215686,-0.3559735786964906,1764873.0,0.09020883134917553
COLUSA,2019,760.0,14548918.0,14726663.0,14292704.0,4407.0,0.0,6996339.0,0.0,5902.0,1,19377.188157894736,-0.012217059715368524,6996339.0,0.4895042253726097
COLUSA,2020,1030.0,19537118.0,19809015.0,19456270.0,5839.0,0.0,2725980.0,0.0,5487.0,1,19232.05339805825,-0.013916945170725795,2725980.0,0.14010804743149638
COLUSA,2021,893.0,20398050.0,20272380.0,20337450.0,9347.0,0.0,929498.0,8583537.0,4743.0,1,22701.433370660696,0.006160883025583328,9513035.0,0.467759478204003
COLUSA,2022,1025.0,26094874.0,29778024.0,25968186.0,8712.0,0.0,10036510.0,0.0,4636.0,1,29051.730731707317,-0.14114457881651393,10036510.0,0.38649253359476093
COLUSA,2023,920.0,26656230.0,33664666.0,26569061.0,7867.0,0.0,3087123.0,5081167.0,5162.0,1,36592.02826086956,-0.26291925002147715,8168290.0,0.307436156663572
COLUSA,2024,724.0,32921186.0,30126433.0,32717530.0,6152.0,0.0,7327246.0,5879119.0,4808.0,1,41611.095303867405,0.08489223322634853,13206365.0,0.40364798320655626
CONTRA COSTA,2013,74184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,,0.0,
CONTRA COSTA,2014,72483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,,0.0,
CONTRA COSTA,2015,80993.0,1997986767.0,1883750056.0,1896222930.0,307954.0,279378.0,252908937.0,176933187.0,0.0,8,23258.183497339276,0.057175909714120746,429842124.0,0.2266833277878356
CONTRA COSTA,2016,85532.0,2181432958.0,2025393209.0,2084409169.0,334899.0,0.0,267717479.0,286689679.0,297485.0,8,23679.946791843988,0.0715308478437319,554407158.0,0.2659780844592898
CONTRA COSTA,2017,73151.0,2279845918.0,2169668642.0,2207438365.0,323404.0,0.0,217945184.0,359119188.0,357927.0,8,29660.136457464698,0.048326632572017525,577064372.0,0.26141811302622714
CONTRA COSTA,2018,75452.0,2419209535.0,2259436387.0,2347467301.0,327243.0,0.0,191949638.0,512318806.0,316792.0,8,29945.347863542385,0.06604353433982312,704268444.0,0.3000120358226025
CONTRA COSTA,2019,72550.0,2491100019.0,2413905555.0,2404247681.0,315348.0,0.0,256578124.0,532299615.0,331301.0,8,33272.30261888353,0.030988103011210327,788877739.0,0.3281183320812778
CONTRA COSTA,2020,71605.0,2567633792.0,2439298966.0,2504804314.0,334649.0,0.0,224566225.0,625329375.0,311815.0,8,34066.04239927379,0.04998174833181195,849895600.0,0.33930618661494366
CONTRA COSTA,2021,69499.0,2600141856.0,2515561884.0,2349385907.0,316895.0,0.0,249804605.0,539308248.0,252123.0,8,36195.65582238593,0.03252898368018887,789112853.0,0.3358804744034757
CONTRA COSTA,2022,69358.0,3809164588.0,3831781622.0,3549032885.0,348921.0,0.0,268246221.0,699414386.0,282479.0,8,55246.42610801926,-0.005937531308374118,967660607.0,0.27265473112120797
CONTRA COSTA,2023,70521.0,3976171000.0,3956450903.0,3666377309.0,367135.0,0.0,245657608.0,642398015.0,338990.0,8,56103.15938514769,0.004959569646275273,888055623.0,0.24221610275081484
CONTRA COSTA,2024,71379.0,4146960470.0,4187655063.0,3975077625.0,359351.0,0.0,198790560.0,599298705.0,353180.0,8,58667.88639515824,-0.009813113313809813,798089265.0,0.2007732528242137
DEL NORTE,2013,2199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
DEL NORTE,2014,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,
DEL NORTE,2015,2085.0,70430905.0,61365408.0,69929184.0,6735.0,17872.0,1135039.0,16181386.0,0.0,1,29431.85035971223,0.12871475952211603,17316425.0,0.247628014649792
DEL NORTE,2016,1879.0,67953348.0,64123080.0,67522003.0,6798.0,0.0,11479621.0,10403181.0,19282.0,1,34126.173496540716,0.05636614107666925,21882802.0,0.3240840174720528
DEL NORTE,2017,1564.0,74559716.0,78146632.0,74146426.0,8037.0,0.0,10751435.0,13048049.0,20016.0,1,49965.877237851666,-0.04810796221380457,23799484.0,0.3209795169358534
DEL NORTE,2018,2324.0,82270388.0,81131655.0,81298528.0,9533.0,0.0,6015559.0,19412673.0,20726.0,1,34910.350688468156,0.013841347144248305,25428232.0,0.31277604435839235
DEL NORTE,2019,2337.0,89798540.0,83257292.0,89124867.0,9558.0,0.0,10115383.0,20430045.0,17665.0,1,35625.71330765939,0.07284358966192546,30545428.0,0.34272621130531394
